rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.6589,0.5178,0.6667,1.0,5,4,False,True
2,frame_0376.jpg,150.4,0.6564,0.6489,1.0,0.16,7,6,False,True
3,frame_0069.jpg,27.6,0.6403,0.4806,0.6667,1.0,4,4,False,False
4,frame_0375.jpg,150.0,0.6,0.62,0.8333,0.2,8,5,False,False
5,frame_0074.jpg,29.6,0.5976,0.3952,0.6667,1.0,7,4,False,False
6,frame_0130.jpg,52.0,0.5776,0.4871,0.5,0.92,3,3,False,True
7,frame_0073.jpg,29.2,0.5737,0.4474,0.5,1.0,6,3,False,False
8,frame_0328.jpg,131.2,0.5711,0.5101,1.0,0.08,9,6,False,True
9,frame_0289.jpg,115.6,0.5701,0.5362,0.5,0.76,3,3,False,True
10,frame_0013.jpg,5.2,0.5674,0.4347,0.5,1.0,4,3,False,True
11,frame_0288.jpg,115.2,0.564,0.44,0.6667,0.72,5,4,False,False
12,frame_0001.jpg,0.4,0.5574,0.4148,0.5,1.0,4,3,False,True
13,frame_0019.jpg,7.6,0.551,0.602,0.1667,1.0,1,1,False,True
14,frame_0129.jpg,51.6,0.5471,0.5423,0.3333,0.88,5,2,False,False
15,frame_0284.jpg,113.6,0.5455,0.567,0.5,0.56,5,3,False,True
16,frame_0126.jpg,50.4,0.5439,0.4838,0.5,0.76,6,3,False,False
17,frame_0024.jpg,9.6,0.5432,0.5864,0.1667,1.0,1,1,False,True
18,frame_0127.jpg,50.8,0.5362,0.3524,0.6667,0.8,6,4,False,False
19,frame_0173.jpg,69.2,0.5341,0.5242,0.6667,0.36,5,4,False,True
20,frame_0167.jpg,66.8,0.5278,0.4156,0.6667,0.6,5,4,False,True
21,frame_0285.jpg,114.0,0.5277,0.5154,0.5,0.6,4,3,False,False
22,frame_0023.jpg,9.2,0.5253,0.5506,0.1667,1.0,1,1,False,False
23,frame_0028.jpg,11.2,0.5125,0.425,0.3333,1.0,3,2,False,False
24,frame_0031.jpg,12.4,0.5122,0.4244,0.3333,1.0,7,2,False,False
25,frame_0087.jpg,34.8,0.5114,0.6309,0.3333,0.48,2,2,False,False
26,frame_0291.jpg,116.4,0.5081,0.3801,0.5,0.84,6,3,False,False
27,frame_0282.jpg,112.8,0.5068,0.5216,0.5,0.48,3,3,False,False
28,frame_0293.jpg,117.2,0.5064,0.3087,0.6667,0.76,6,4,False,False
29,frame_0297.jpg,118.8,0.5014,0.4629,0.5,0.6,4,3,False,False
30,frame_0067.jpg,26.8,0.4973,0.2946,0.5,1.0,6,3,False,False
31,frame_0008.jpg,3.2,0.4921,0.3842,0.3333,1.0,2,2,False,False
32,frame_0122.jpg,48.8,0.492,0.444,0.5,0.6,4,3,False,False
33,frame_0003.jpg,1.2,0.4918,0.3836,0.3333,1.0,3,2,False,False
34,frame_0128.jpg,51.2,0.4868,0.3376,0.5,0.84,7,3,False,False
35,frame_0075.jpg,30.0,0.4782,0.3724,0.3333,0.96,6,2,False,False
36,frame_0071.jpg,28.4,0.4757,0.3514,0.3333,1.0,7,2,False,False
37,frame_0121.jpg,48.4,0.4736,0.4231,0.5,0.56,4,3,False,False
38,frame_0229.jpg,91.6,0.4722,0.4124,0.8333,0.08,8,5,False,False
39,frame_0209.jpg,83.6,0.4691,0.4502,0.3333,0.72,3,2,False,False
40,frame_0387.jpg,154.8,0.468,0.556,0.5,0.2,8,3,False,False
41,frame_0007.jpg,2.8,0.4662,0.3325,0.3333,1.0,4,2,False,False
42,frame_0004.jpg,1.6,0.4649,0.3298,0.3333,1.0,6,2,False,False
43,frame_0294.jpg,117.6,0.4648,0.4417,0.3333,0.72,3,2,False,False
44,frame_0033.jpg,13.2,0.4571,0.3142,0.3333,1.0,6,2,False,False
45,frame_0011.jpg,4.4,0.456,0.3121,0.3333,1.0,3,2,False,False
46,frame_0367.jpg,146.8,0.4526,0.4731,0.6667,0.08,6,4,False,False
47,frame_0029.jpg,11.6,0.4521,0.3042,0.3333,1.0,5,2,False,False
48,frame_0321.jpg,128.4,0.4509,0.4218,0.6667,0.2,7,4,False,False
49,frame_0072.jpg,28.8,0.4506,0.4011,0.1667,1.0,7,1,False,False
50,frame_0176.jpg,70.4,0.45,0.4039,0.6667,0.24,6,4,False,False
51,frame_0014.jpg,5.6,0.4491,0.2982,0.3333,1.0,3,2,False,False
52,frame_0131.jpg,52.4,0.4459,0.4077,0.1667,0.96,3,1,False,False
53,frame_0178.jpg,71.2,0.4424,0.4208,0.6667,0.16,5,4,False,False
54,frame_0133.jpg,53.2,0.4414,0.2828,0.3333,1.0,6,2,False,False
55,frame_0292.jpg,116.8,0.4407,0.3615,0.3333,0.8,5,2,False,False
56,frame_0278.jpg,111.2,0.4406,0.4532,0.5,0.32,5,3,False,False
57,frame_0000.jpg,0.0,0.4384,0.2768,0.3333,1.0,7,2,False,False
58,frame_0116.jpg,46.4,0.4339,0.4238,0.5,0.36,7,3,False,False
59,frame_0016.jpg,6.4,0.4336,0.2672,0.3333,1.0,3,2,False,False
60,frame_0077.jpg,30.8,0.4323,0.3127,0.3333,0.88,7,2,False,False
61,frame_0298.jpg,119.2,0.4301,0.4362,0.3333,0.56,5,2,False,False
62,frame_0017.jpg,6.8,0.4268,0.3535,0.1667,1.0,2,1,False,False
63,frame_0280.jpg,112.0,0.4258,0.3915,0.5,0.4,7,3,False,False
64,frame_0210.jpg,84.0,0.4243,0.5766,0.0,0.68,2,0,False,False
65,frame_0025.jpg,10.0,0.4227,0.3454,0.1667,1.0,2,1,False,False
66,frame_0006.jpg,2.4,0.4205,0.3409,0.1667,1.0,3,1,False,False
67,frame_0124.jpg,49.6,0.4203,0.3686,0.3333,0.68,3,2,False,False
68,frame_0111.jpg,44.4,0.419,0.5741,0.3333,0.16,3,2,False,False
69,frame_0177.jpg,70.8,0.4179,0.4558,0.5,0.2,5,3,False,False
70,frame_0032.jpg,12.8,0.4171,0.3341,0.1667,1.0,4,1,False,False
71,frame_0224.jpg,89.6,0.4167,0.4854,0.5,0.12,5,3,False,False
72,frame_0123.jpg,49.2,0.4159,0.3758,0.3333,0.64,5,2,False,False
73,frame_0030.jpg,12.0,0.4158,0.2316,0.3333,1.0,5,2,False,False
74,frame_0295.jpg,118.0,0.4157,0.3595,0.3333,0.68,3,2,False,False
75,frame_0333.jpg,133.2,0.4131,0.3942,0.6667,0.08,7,4,False,False
76,frame_0290.jpg,116.0,0.4123,0.3047,0.3333,0.8,6,2,False,False
77,frame_0114.jpg,45.6,0.4098,0.4077,0.5,0.28,5,3,False,False
78,frame_0168.jpg,67.2,0.4094,0.3948,0.3333,0.56,4,2,False,False
79,frame_0018.jpg,7.2,0.4061,0.3122,0.1667,1.0,4,1,False,False
80,frame_0078.jpg,31.2,0.4049,0.2739,0.3333,0.84,5,2,False,False
81,frame_0002.jpg,0.8,0.4042,0.3083,0.1667,1.0,3,1,False,False
82,frame_0377.jpg,150.8,0.4041,0.4602,0.5,0.12,9,3,False,False
83,frame_0198.jpg,79.2,0.4035,0.5309,0.1667,0.44,2,1,False,False
84,frame_0397.jpg,158.8,0.4032,0.4265,0.5,0.2,4,3,False,False
85,frame_0206.jpg,82.4,0.4025,0.301,0.3333,0.76,4,2,False,False
86,frame_0083.jpg,33.2,0.4007,0.3454,0.3333,0.64,3,2,False,False
87,frame_0076.jpg,30.4,0.4004,0.3328,0.1667,0.92,7,1,False,False
88,frame_0287.jpg,114.8,0.3996,0.3272,0.3333,0.68,5,2,False,False
89,frame_0275.jpg,110.0,0.3994,0.4188,0.5,0.2,5,3,False,False
90,frame_0119.jpg,47.6,0.3951,0.3983,0.3333,0.48,4,2,False,False
91,frame_0313.jpg,125.2,0.3911,0.5662,0.3333,0.04,2,2,False,False
92,frame_0330.jpg,132.0,0.3911,0.4663,0.5,0.04,8,3,False,False
93,frame_0174.jpg,69.6,0.3902,0.4524,0.3333,0.32,4,2,False,False
94,frame_0320.jpg,128.0,0.3892,0.4824,0.3333,0.24,4,2,False,False
95,frame_0095.jpg,38.0,0.3878,0.4115,0.5,0.16,6,3,False,False
96,frame_0207.jpg,82.8,0.3858,0.2517,0.3333,0.8,3,2,False,False
97,frame_0170.jpg,68.0,0.3829,0.3739,0.3333,0.48,3,2,False,False
98,frame_0183.jpg,73.2,0.3823,0.4486,0.5,0.04,5,3,False,False
99,frame_0286.jpg,114.4,0.3818,0.3076,0.3333,0.64,5,2,False,False
100,frame_0026.jpg,10.4,0.3788,0.2576,0.1667,1.0,3,1,False,False
101,frame_0120.jpg,48.0,0.3767,0.3454,0.3333,0.52,4,2,False,False
102,frame_0091.jpg,36.4,0.3757,0.4234,0.3333,0.32,3,2,False,False
103,frame_0317.jpg,126.8,0.3737,0.3673,0.5,0.2,7,3,False,False
104,frame_0103.jpg,41.2,0.3729,0.4818,0.3333,0.16,4,2,False,False
105,frame_0305.jpg,122.0,0.3709,0.4298,0.3333,0.28,4,2,False,False
106,frame_0132.jpg,52.8,0.3703,0.2405,0.1667,1.0,3,1,False,False
107,frame_0388.jpg,155.2,0.3686,0.3732,0.5,0.16,8,3,False,False
108,frame_0327.jpg,130.8,0.3684,0.4208,0.5,0.04,7,3,False,False
109,frame_0393.jpg,157.2,0.3667,0.4174,0.5,0.04,5,3,False,False
110,frame_0386.jpg,154.4,0.3664,0.3367,0.5,0.24,7,3,False,False
111,frame_0009.jpg,3.6,0.3653,0.2306,0.1667,1.0,2,1,False,False
112,frame_0015.jpg,6.0,0.3652,0.2304,0.1667,1.0,4,1,False,False
113,frame_0106.jpg,42.4,0.3644,0.4129,0.5,0.04,6,3,False,False
114,frame_0373.jpg,149.2,0.3644,0.3648,0.5,0.16,7,3,False,False
115,frame_0194.jpg,77.6,0.3641,0.4163,0.3333,0.28,2,2,False,False
116,frame_0115.jpg,46.0,0.3604,0.2928,0.5,0.32,7,3,False,False
117,frame_0231.jpg,92.4,0.3601,0.3562,0.5,0.16,8,3,False,False
118,frame_0105.jpg,42.0,0.3579,0.3837,0.5,0.08,6,3,False,False
119,frame_0005.jpg,2.0,0.3552,0.2104,0.1667,1.0,4,1,False,False
120,frame_0068.jpg,27.2,0.3546,0.2092,0.1667,1.0,5,1,False,False
121,frame_0215.jpg,86.0,0.3545,0.3171,0.3333,0.48,3,2,False,False
122,frame_0383.jpg,153.2,0.3527,0.3574,0.5,0.12,5,3,False,False
123,frame_0390.jpg,156.0,0.3521,0.3722,0.5,0.08,5,3,False,False
124,frame_0230.jpg,92.0,0.3508,0.3535,0.5,0.12,10,3,False,False
125,frame_0276.jpg,110.4,0.35,0.3041,0.5,0.24,6,3,False,False
126,frame_0374.jpg,149.6,0.3482,0.4165,0.3333,0.2,6,2,False,False
127,frame_0332.jpg,132.8,0.3469,0.4778,0.3333,0.04,5,2,False,False
128,frame_0125.jpg,50.0,0.3466,0.3052,0.1667,0.72,5,1,False,False
129,frame_0096.jpg,38.4,0.3448,0.3416,0.5,0.12,7,3,False,False
130,frame_0079.jpg,31.6,0.3431,0.2661,0.1667,0.8,6,1,False,False
131,frame_0027.jpg,10.8,0.3424,0.1848,0.1667,1.0,4,1,False,False
132,frame_0301.jpg,120.4,0.3424,0.3089,0.3333,0.44,6,2,False,False
133,frame_0300.jpg,120.0,0.3418,0.2916,0.3333,0.48,5,2,False,False
134,frame_0299.jpg,119.6,0.3414,0.3748,0.1667,0.52,6,1,False,False
135,frame_0113.jpg,45.2,0.3395,0.283,0.5,0.24,5,3,False,False
136,frame_0329.jpg,131.6,0.3391,0.3461,0.5,0.08,7,3,False,False
